movie_id,title,year,director,music_by,country,language
5,Kiki's Delivery Service,1986,Hayao Miyazaki,Joe Hisaishi,Japan,Japanese
7,Ponyo,1986,Hayao Miyazaki,Joe Hisaishi,Japan,Japanese
